通用码,数据模式,V6方法,V6.1方法,V6_MASE,V6.1_MASE,V6总量误差,V6.1总量误差,优胜者
CJ6060060677,intermittent,ma_3,ma_3,0.0473,0.0473,3.0,3.0,V6
CJ6060060678,intermittent,ma_3,ma_3,0.0228,0.0228,3.0,3.0,V6.1
CJ6060060679,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ6060060680,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ6060080689,intermittent,adida,adida,0.0795,0.0795,21.88,21.88,V6
CJ6060080880,intermittent,sba,sba,0.4346,0.4346,469.25,469.25,V6.1
CJ6060080935,intermittent,sba,sba,0.1871,0.1871,151.53,151.53,V6.1
CJ6060080976,seasonal,ma_3,ma_3,0.0299,0.0299,466.67,466.67,V6.1
CJ6060080977,stable,damped_trend,damped_trend,0.0877,0.0877,75.8,75.8,V6
CJ6060080982,seasonal,optimized_des,optimized_des,0.1711,0.1711,70.99,70.99,V6.1
CJ6060081006,intermittent,sba,sba,0.2831,0.2831,325.89,325.89,V6
CJ6060081009,intermittent,adida,adida,0.009,0.009,2.94,2.94,V6
CJ6060081497,sparse,median_5,median_5,0.0,0.0,0.0,0.0,持平
CJ6060081498,seasonal,optimized_des,optimized_des,0.0,0.0,0.0,0.0,持平
CJ6060081669,all_zero,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
CJ6060081675,trending,seasonal_naive,seasonal_naive,0.0946,0.0946,4.0,4.0,V6.1
CJ6060081682,seasonal,median_5,median_5,0.1038,0.1038,3.0,3.0,V6
CJ6060081683,erratic,adida,adida,0.0316,0.0316,1.3,1.3,V6.1
CJ6060081704,stable,ma_3,ma_3,0.0916,0.0916,1.67,1.67,V6.1
CJ6060081707,seasonal,optimized_hw,optimized_hw,0.0528,0.0528,1.22,1.22,V6
CJ6060081758,intermittent,naive_drift,naive_drift,0.0833,0.0833,6.0,6.0,V6
CJ6060081771,intermittent,ma_5,ma_5,0.0,0.0,0.0,0.0,持平
