通用码,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
CJ1010007810,0,50,0,0,0,20,20,0,25,20,40,20,0,20,0,21,15,0,20,0,29,20,30,0,20,0,40,0,20,0,20,0,20,30,0,0,20,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20
CJ1010007843,0,1,0,10,5,8,10,0,0,28,0,25,30,0,28,10,100,0,40,50,70,20,20,40,20,30,0,25,70,40,0,0,50,85,5,40,30,35,20,10,60,30,60,40,0,80,20,10,30,0,0,20,10,5,25,0
CJ1010007848,0,120,79,39,60,112,105,103,60,70,20,172,120,75,40,60,40,0,40,20,60,60,150,120,80,160,122,220,40,180,0,100,102,280,40,40,410,180,270,450,139,670,470,355,120,300,310,440,120,300,240,600,20,40,180,1
CJ1010007850,3,50,20,40,15,65,20,60,25,5,50,110,0,40,0,50,52,0,30,0,50,28,40,20,0,30,25,25,0,10,0,50,20,20,0,20,125,10,0,15,10,75,10,10,0,10,80,20,20,20,0,85,0,0,0,0
CJ1010007851,0,10,25,0,0,35,5,0,50,0,10,32,18,0,15,5,10,0,10,0,30,0,0,0,5,0,25,0,10,10,0,20,0,10,5,1,60,10,20,20,70,60,15,10,40,20,90,10,50,10,70,30,0,0,0,0
CJ1010007854,20,10,0,0,2,0,0,0,24,0,4,0,0,20,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0
CJ1010007904,0,15,5,0,0,4,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,20,10,2,0,5,10,42,0,5,1,0,15,30,0,10,0,0,35,10,2,0,35,0,18,0,5,0,1,15,0,5,0,0,20,0
CJ1010007905,0,0,20,0,0,0,0,20,0,20,0,0,0,0,20,0,0,0,0,30,0,0,0,0,0,4,16,0,15,0,0,0,0,0,30,0,0,20,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,5,29,0
CJ1010007928,0,0,5,14,0,10,0,0,0,8,0,0,0,0,0,10,0,0,0,12,0,10,0,0,0,0,5,5,0,0,0,0,10,30,0,10,0,0,35,0,0,0,35,10,30,0,0,0,0,15,40,0,0,0,0,0
CJ1010007969,0,0,0,20,2,1,0,0,31,0,0,24,0,0,0,0,0,0,0,0,0,2,0,20,0,0,0,10,18,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
